Question Bank — Extended with Analytical Metadata (Methodology Section 2),,,,,,,,,,,,,
Q Code,Domain,Sub-Domain,Indicator,KPI,Question,Question Type,Response Scale,Analytical Category,Measurement Mode,Evidence Mode,Dependency,Severity Direction,Notes
ED06,Education,Education Equity,Gender Parity in Enrollment,Ratio of girls to boys enrolled (school-age),Are there any school-age girls in this household NOT enrolled in school while boys of similar age are enrolled?,Single-select,Yes / No / Not applicable,Equity,Direct,Objective,Unconditional,Higher=Worse,Direct gender-parity gap detector at household level.
ED07,Education,Education Equity,Perceived Barriers for Girls,% households perceiving specific barriers to girls' education,"What, if any, barriers do girls in this village face in continuing their education that boys do not?",Multi-select,Distance/safety / Lack of female teachers / Early marriage / Household duties / Cultural norms / None,Equity,Direct,Objective,Unconditional,Higher=Worse,Qualitative-to-quantitative barrier classification.
ED08,Education,Education Quality,Perceived Teaching Quality,% parents satisfied with quality of teaching at local school,How satisfied are you with the quality of teaching at the school your children attend?,Likert-5,Very dissatisfied / Dissatisfied / Neutral / Satisfied / Very satisfied,Quality,Proxy,Perception-based,Unconditional,Higher=Worse,"Demand-side quality perception, complements infrastructure indicators."
ED09,Education,Education Quality,Teacher Availability,% schools perceived to have adequate teaching staff,Does the local school have enough teachers to cover all subjects/grades?,Single-select,Yes / Partially / No / Don't know,Availability,Direct,Objective,Unconditional,Higher=Worse,Supply-side staffing adequacy.
ED10,Education,Education Quality,Learning Materials,% households reporting children have adequate textbooks/learning materials,Do your children have access to the textbooks and learning materials they need for their grade level?,Single-select,"Yes, fully / Partially / No",Availability,Direct,Objective,Unconditional,Higher=Worse,Material adequacy distinct from teacher/infrastructure quality.
ED11,Education,School Infrastructure,Facility Adequacy,"% schools with adequate classrooms, water, and sanitation","Does the school your children attend have adequate classrooms, clean water, and functioning toilets?",Single-select,"Yes, all adequate / Some inadequate / Most inadequate / Don't know",Quality,Direct,Objective,Unconditional,Higher=Worse,Bundles core infrastructure adequacy; can be split later if granularity needed.
ED12,Education,School Infrastructure,Digital Access,% schools with functioning computer/internet access for students,Does the school have functioning computers or internet access available for student use?,Single-select,Yes / No / Don't know,Availability,Direct,Objective,Unconditional,Higher=Worse,Digital divide indicator relevant to SDG 4.4 (digital skills).
ED13,Education,Vocational & Adult Education,Vocational Program Access,% youth aware of and able to access vocational/technical training,Are vocational or technical training programs available and accessible to youth in this village?,Single-select,"Yes, accessible / Exist but inaccessible / None available / Don't know",Access,Direct,Objective,Unconditional,Higher=Worse,Bridges education domain to livelihood/employment domain.
ED14,Education,Vocational & Adult Education,Adult Literacy,% adult household members unable to read/write functionally,Are there adult members of this household who cannot read or write?,Single-select,Yes / No,Equity,Direct,Objective,Unconditional,Higher=Worse,"Adult literacy gap, SDG 4.6 proxy."
WS01,Water & Sanitation,Drinking Water Access,Safe Water Source Access,% households with access to an improved drinking water source,What is the main source of drinking water for this household?,Single-select,Piped into dwelling / Public tap / Protected well / Unprotected well / Surface water (river/pond) / Tanker/vendor / Other,Access,Direct,Objective,Unconditional,Higher=Worse,JMP/WHO improved-source classification; foundational SDG 6.1 indicator.
WS02,Water & Sanitation,Drinking Water Access,Water Collection Time,Average round-trip time to collect water (minutes),"How long does it take (round trip) to collect water from the main source, if not piped to the home?",Single-select,Water on premises / Under 30 min / 30 min–1 hr / Over 1 hr,Access,Direct,Objective,Unconditional,Higher=Worse,JMP standard threshold (30 min) for 'basic' service; gendered time-burden proxy.
WS03,Water & Sanitation,Drinking Water Access,Water Availability Consistency,% households reporting water source available year-round,"Is your main water source available consistently throughout the year, including dry season?",Single-select,"Yes, consistently / Seasonal shortages / Frequent shortages / Rarely available",Availability,Direct,Objective,Unconditional,Higher=Worse,Captures reliability/seasonality distinct from source type.
WS04,Water & Sanitation,Water Quality,Perceived Water Safety,% households perceiving their drinking water as safe to drink,Do you consider your household's drinking water safe to drink without treatment?,Single-select,"Yes / No, needs treatment / Don't know",Quality,Proxy,Perception-based,Unconditional,Higher=Worse,Subjective safety perception; pairs with treatment practice question.
WS05,Water & Sanitation,Water Quality,Water Treatment Practice,% households practicing water treatment before drinking,"Does this household treat water (boiling, filtering, chlorination) before drinking it?",Single-select,Always / Sometimes / Never,Utilization,Direct,Objective,Unconditional,Higher=Better,Behavioral mitigation indicator.
WS06,Water & Sanitation,Water Quality,Waterborne Illness Incidence,% households reporting waterborne illness in past 6 months,"Has any household member experienced illness suspected to be related to water quality in the past 6 months (e.g., diarrhea)?",Single-select,Yes / No / Don't know,Risk,Direct,Objective,Unconditional,Higher=Worse,Outcome-level proxy for water safety problems.
WS07,Water & Sanitation,Sanitation Access,Improved Sanitation Facility,% households with access to an improved sanitation facility,What type of toilet facility does this household primarily use?,Single-select,Flush/pour-flush to sewer or septic / Pit latrine with slab / Pit latrine without slab / Shared/public facility / Open defecation,Access,Direct,Objective,Unconditional,Higher=Worse,JMP improved-sanitation classification; SDG 6.2 core indicator.
WS08,Water & Sanitation,Sanitation Access,Facility Privacy & Safety,"% households reporting sanitation facility is private and safe to use, especially at night","Is your household's toilet facility private and safe to use, including at night?",Single-select,Yes / Somewhat / No,Quality,Direct,Objective,Unconditional,Higher=Worse,Critical gender/safety dimension often missed in basic access counts.
WS09,Water & Sanitation,Hygiene & Waste Management,Handwashing Facility,% households with a handwashing facility with water and soap,Does this household have a handwashing facility with both water and soap available?,Single-select,"Yes / Water only, no soap / No facility",Availability,Direct,Objective,Unconditional,Higher=Worse,SDG 6.2 hygiene sub-indicator.
WS10,Water & Sanitation,Hygiene & Waste Management,Solid Waste Collection,% villages with regular solid waste collection service,Is there a regular waste collection service operating in this village?,Single-select,"Yes, weekly or more / Yes, irregular / No service",Availability,Direct,Objective,Unconditional,Higher=Worse,Service coverage indicator.
WS11,Water & Sanitation,Hygiene & Waste Management,Informal Waste Disposal,Predominant method of waste disposal in absence of collection service,"In the absence of formal collection, how does this household primarily dispose of waste?",Single-select,Burning / Burying / Open dumping / Private collection / Other,Diagnostic,Direct,Objective,Conditional,Higher=Worse,Only relevant where collection = No/irregular; environmental risk proxy.
EE01,Energy & Environment,Electricity Access,Grid Connectivity,% households connected to the national electricity grid,Is this household connected to the national electricity grid?,Single-select,"Yes / No, uses alternative source / No electricity access",Access,Direct,Objective,Unconditional,Higher=Worse,SDG 7.1 core access indicator.
EE02,Energy & Environment,Electricity Access,Service Reliability,Average daily hours of electricity outage,"On a typical day, how many hours does the electricity supply get interrupted?",Single-select,No outages / Under 2 hrs / 2–6 hrs / Over 6 hrs / No grid connection,Availability,Direct,Objective,Unconditional,Higher=Worse,Reliability dimension distinct from binary connectivity.
EE03,Energy & Environment,Electricity Access,Alternative Energy Use,% households relying on alternative/off-grid energy sources,"If not connected to the grid, what is the household's main energy source?",Single-select,Solar / Generator / Gas / Firewood/biomass / Other / Not applicable,Diagnostic,Direct,Objective,Conditional,Higher=Worse,Identifies feasibility of off-grid renewable interventions.
EE04,Energy & Environment,Clean Cooking,Cooking Fuel Type,% households using clean cooking fuel/technology,What is the primary fuel or technology this household uses for cooking?,Single-select,Electricity/LPG/natural gas / Improved cookstove / Firewood/charcoal/open fire / Other,Access,Direct,Objective,Unconditional,Higher=Worse,SDG 7.1.2 clean cooking access indicator; health and environment co-benefit.
EE05,Energy & Environment,Clean Cooking,Indoor Air Quality Concern,% households reporting health concerns from cooking smoke,Do household members experience respiratory or eye irritation symptoms believed to be related to cooking smoke?,Single-select,"Yes, frequently / Occasionally / Never / Not applicable",Risk,Direct,Objective,Unconditional,Higher=Worse,Health-environment linkage indicator.
EE06,Energy & Environment,Environmental Quality,Water Scarcity Perception,% households reporting seasonal water scarcity affecting agriculture/livestock,Does this household experience water scarcity that affects farming or livestock during part of the year?,Single-select,"Yes, severe / Yes, moderate / No",Risk,Direct,Objective,Unconditional,Higher=Worse,Links environmental stress to livelihood domain.
EE07,Energy & Environment,Environmental Quality,Land Degradation Perception,Perceived change in land/soil quality over past 5 years,"Compared to 5 years ago, how would you describe the quality of agricultural land/soil in this area?",Single-select,Improved / Same / Degraded / Don't know,Risk,Direct,Objective,Unconditional,Higher=Worse,Trend-based perceptual environmental indicator.
EE08,Energy & Environment,Environmental Quality,Natural Disaster Exposure,% households affected by a natural hazard event in past 3 years,"Has this household been affected by a flood, drought, or other natural hazard in the past 3 years?",Single-select,Yes / No,Risk,Direct,Objective,Unconditional,Higher=Worse,Climate vulnerability/resilience baseline.
EE09,Energy & Environment,Environmental Awareness,Program Awareness,% households aware of environmental or clean energy programs available locally,Are you aware of any environmental conservation or clean energy programs operating in or near this village?,Single-select,Yes / No,Awareness,Direct,Objective,Unconditional,Higher=Worse,Awareness precedes uptake; baseline for outreach planning.
EE10,Energy & Environment,Environmental Awareness,Conservation Practice,% households practicing any form of water/resource conservation,Does this household practice any form of water conservation or resource-saving measures?,Single-select,"Yes, regularly / Occasionally / No",Utilization,Direct,Objective,Unconditional,Higher=Worse,Behavioral adoption indicator.
LV01,Livelihood,Employment & Income,Employment Status,% working-age members (15-64) currently employed or self-employed,What is the current employment status of the primary working-age members of this household?,Single-select,Employed full-time / Employed part-time / Self-employed / Seeking work / Not seeking work / Unable to work,Access,Direct,Objective,Unconditional,Higher=Worse,Core labor-market status indicator (SDG 8.5 proxy).
LV02,Livelihood,Employment & Income,Income Adequacy,% households reporting income sufficient to cover basic needs,"Does this household's income cover its basic needs (food, housing, health, education)?",Single-select,Comfortably covers / Barely covers / Does not cover,Access,Direct,Objective,Unconditional,Higher=Worse,Subjective income-adequacy; complements objective poverty-line data where unavailable.
LV03,Livelihood,Employment & Income,Income Stability,Stability/seasonality of household's main income source,How stable is the household's main source of income throughout the year?,Single-select,"Stable year-round / Seasonal, predictable / Irregular/unpredictable",Risk,Direct,Objective,Unconditional,Higher=Worse,Differentiates chronic poverty from seasonal vulnerability.
LV04,Livelihood,Employment & Income,Income Diversification,Number of distinct income sources for the household,How many different sources of income does this household currently rely on?,Single-select,One / Two / Three or more / None,Risk,Direct,Objective,Unconditional,Higher=Worse,Resilience proxy — diversified income reduces shock vulnerability.
LV05,Livelihood,Agriculture & Primary Production,Agricultural Dependency,% households dependent on agriculture/livestock as primary livelihood,"Is agriculture, livestock, or fishing the primary source of livelihood for this household?",Single-select,"Yes, primary / Yes, secondary / No",Diagnostic,Direct,Objective,Unconditional,Higher=Worse,Sector-dependency baseline for targeting agri-interventions.
LV06,Livelihood,Agriculture & Primary Production,Access to Inputs & Markets,"% agricultural households reporting adequate access to inputs (seeds, feed, fertilizer) and output markets",Does this household have adequate access to agricultural inputs and a market to sell its produce/livestock?,Single-select,"Yes, both / Inputs only / Market only / Neither / Not applicable",Access,Direct,Objective,Conditional,Higher=Worse,Value-chain bottleneck identification; only relevant to agri-dependent households.
LV07,Livelihood,Agriculture & Primary Production,Productivity Constraint,Most cited constraint limiting agricultural productivity,What is the single biggest constraint limiting agricultural/livestock productivity for this household?,Single-select,Water/irrigation / Land size / Inputs cost / Market access / Climate/weather / Lack of equipment / Lack of skills / Other,Diagnostic,Direct,Objective,Conditional,Higher=Worse,Root-cause classification for targeted productivity interventions.
LV08,Livelihood,Entrepreneurship,Business Ownership,% households operating a small business or microenterprise,Does this household currently own or operate a small business or microenterprise?,Single-select,Yes / No,Diagnostic,Direct,Objective,Unconditional,Higher=Worse,Baseline entrepreneurial activity rate.
LV09,Livelihood,Entrepreneurship,Entrepreneurial Intent,% non-business households expressing intent to start a business,"If not currently operating a business, would members of this household like to start one?",Single-select,"Yes, with a clear idea / Yes, but no clear idea / No interest / Not applicable",Diagnostic,Direct,Objective,Conditional,Higher=Worse,Demand-side signal for entrepreneurship support programs.
LV10,Livelihood,Entrepreneurship,Barriers to Entrepreneurship,Most cited barrier to starting/growing a business,What is the main barrier preventing this household from starting or growing a business?,Single-select,Lack of capital / Lack of skills/training / Lack of market / Regulatory/permit issues / Lack of mentorship / Other,Access,Direct,Objective,Conditional,Higher=Worse,Feeds design of targeted capacity-building or financing interventions.
LV11,Livelihood,Entrepreneurship,Access to Finance,% households with access to formal or microfinance credit,"Does this household have access to a bank account, microfinance, or formal credit when needed?",Single-select,"Yes, easily / Yes, with difficulty / No access",Access,Direct,Objective,Unconditional,Higher=Worse,Financial-inclusion indicator (SDG 8.10 related).
LV12,Livelihood,Vocational Skills & Capacity,Vocational Skill Possession,% working-age members holding a marketable vocational/technical skill,"Do working-age members of this household hold any vocational or technical skill (e.g., carpentry, tailoring, repair trades)?",Single-select,Yes / No / Don't know,Access,Direct,Objective,Unconditional,Higher=Worse,Human-capital baseline distinct from formal education attainment.
LV13,Livelihood,Vocational Skills & Capacity,Training Program Participation,% working-age members who participated in a skills/training program in the past 2 years,Have any working-age members of this household participated in a job-training or skills program in the past 2 years?,Single-select,Yes / No,Utilization,Direct,Objective,Unconditional,Higher=Worse,Program reach indicator.
LV14,Livelihood,Women's Economic Empowerment,Women's Labor Force Participation,"% women in household employed, self-employed, or actively seeking work","Are the women in this household employed, self-employed, or actively seeking paid work?",Single-select,"Yes / No, by choice / No, due to barriers / Not applicable",Equity,Direct,Objective,Unconditional,Higher=Worse,SDG 5/8 intersection; distinguishes voluntary from constrained non-participation.
LV15,Livelihood,Women's Economic Empowerment,Barriers to Women's Work,"Main barrier to women's economic participation, where applicable","If women in this household face barriers to working, what is the primary barrier?",Single-select,Childcare/household duties / Cultural/social norms / Lack of nearby opportunities / Transportation / Lack of skills / Not applicable,Equity,Direct,Objective,Conditional,Higher=Worse,Root-cause classification specific to gendered economic exclusion.
LV16,Livelihood,Women's Economic Empowerment,Control Over Income,Do women in the household have control/decision-making over income they earn,"If women in this household earn income, do they have control over how it is spent or saved?",Single-select,Full control / Shared decision / Limited control / Not applicable,Equity,Direct,Objective,Conditional,Higher=Worse,Empowerment depth indicator beyond mere participation.
IN01,Infrastructure,Roads & Transport,Road Connectivity Quality,% villages connected by an all-weather paved or graded road,Is this village connected to the main road network by a paved or all-weather road?,Single-select,"Yes, paved / Yes, graded/unpaved but usable / No, often impassable",Access,Direct,Objective,Unconditional,Higher=Worse,Core connectivity indicator affecting access to all other services.
IN02,Infrastructure,Roads & Transport,Public Transport Availability,% households with access to regular public/shared transport,Is regular public or shared transportation available connecting this village to nearby towns/cities?,Single-select,"Yes, daily / Yes, limited schedule / No regular service",Access,Direct,Objective,Unconditional,Higher=Worse,Mobility access distinct from road quality — affects market/service access.
IN03,Infrastructure,Roads & Transport,Seasonal Accessibility,% of year the village is fully accessible by road,"Are there times of the year (e.g., rainy season) when this village becomes difficult or impossible to reach by road?",Single-select,Always accessible / Occasionally difficult / Frequently inaccessible,Risk,Direct,Objective,Unconditional,Higher=Worse,Seasonal vulnerability indicator critical for service delivery planning.
IN04,Infrastructure,Communications & Digital Connectivity,Mobile Network Coverage,% households with reliable mobile network coverage,Is mobile phone network coverage reliable at this household's location?,Single-select,"Yes, strong signal / Weak/intermittent signal / No coverage",Access,Direct,Objective,Unconditional,Higher=Worse,"Foundational connectivity layer, prerequisite for digital services."
IN05,Infrastructure,Communications & Digital Connectivity,Internet Access,% households with functioning internet access (mobile data or fixed),"Does this household have access to functioning internet, through mobile data or a fixed connection?",Single-select,"Yes, reliable / Yes, but unreliable/slow / No access",Access,Direct,Objective,Unconditional,Higher=Worse,SDG 9.c digital-divide indicator.
IN06,Infrastructure,Communications & Digital Connectivity,Digital Literacy,% household members able to use a smartphone/internet for basic tasks,"Can members of this household use a smartphone or internet for basic tasks (e.g., messaging, browsing, mobile banking)?",Single-select,"Yes, most members / Some members / No members",Utilization,Direct,Objective,Unconditional,Higher=Worse,Usability gap distinct from mere connectivity availability.
IN07,Infrastructure,Housing & Built Environment,Housing Adequacy,% households living in structurally adequate housing,"Is the household's dwelling structurally adequate (sound roof, walls, protection from weather)?",Single-select,"Yes, fully adequate / Partially adequate / Inadequate",Quality,Direct,Objective,Unconditional,Higher=Worse,"Basic shelter adequacy, related to SDG 11.1."
IN08,Infrastructure,Housing & Built Environment,Overcrowding,Average number of persons per room in the household,"On average, how many people share each room used for sleeping in this household?",Numeric,Open numeric (persons/room),Quality,Direct,Objective,Unconditional,Higher=Worse,Standard overcrowding metric (UN-Habitat threshold: 3+ persons/room = crowded).
IN09,Infrastructure,Public & Community Facilities,Market Access,% households within reasonable distance of a functioning market,Is there a functioning market (for buying/selling goods) within reasonable distance of this village?,Single-select,"Yes, within village / Yes, nearby (under 10km) / No, far (over 10km)",Access,Direct,Objective,Unconditional,Higher=Worse,Economic-infrastructure linkage supporting livelihood domain.
IN10,Infrastructure,Public & Community Facilities,Community Gathering Space,Availability of a functioning community center or public gathering space,"Does this village have a functioning community center, public square, or gathering space?",Single-select,"Yes, well-maintained / Yes, poorly maintained / No",Availability,Direct,Objective,Unconditional,Higher=Worse,Social infrastructure baseline supporting social cohesion domain.
SD01,Social Development,Social Safety,Perceived Personal Safety,"% households feeling safe in their village, day and night","How safe do members of this household feel walking in this village, both during the day and at night?",Likert-5,Very unsafe / Unsafe / Neutral / Safe / Very safe,Risk,Proxy,Perception-based,Unconditional,Higher=Worse,Composite safety perception across day/night conditions.
SD02,Social Development,Social Safety,Social Safety Net Access,% vulnerable households with access to a social protection program,Does this household currently receive support from any social protection or welfare program?,Single-select,"Yes / No, but eligible / No, not eligible / Don't know eligibility",Access,Direct,Objective,Unconditional,Higher=Worse,Social protection coverage gap indicator (SDG 1.3).
SD03,Social Development,Vulnerable Groups,Elderly Care Access,% elderly household members with access to adequate care/support services,"Do elderly members of this household have access to adequate care, support, or social services?",Single-select,Yes / Partially / No / Not applicable,Equity,Direct,Objective,Conditional,Higher=Worse,"Targets aging population needs, often under-surveyed."
SD04,Social Development,Vulnerable Groups,Disability Inclusion,% public facilities in the village accessible to persons with disabilities,"Are public facilities in this village (schools, health centers, public buildings) accessible to persons with disabilities?",Single-select,"Yes, mostly / Partially / Not accessible / No persons with disabilities in household",Equity,Direct,Objective,Unconditional,Higher=Worse,Inclusion indicator (SDG 10) often absent from generic needs surveys.
SD05,Social Development,Vulnerable Groups,Household Disability Status,% households with a member having a disability affecting daily function,Does any member of this household have a disability that affects their daily activities?,Single-select,Yes / No,Diagnostic,Direct,Objective,Unconditional,Higher=Worse,Prevalence baseline enabling targeted service planning.
SD06,Social Development,Child & Youth Protection,Child Protection Awareness,% households aware of how to report child abuse or neglect,Do you know how or where to report a case of child abuse or neglect in this area?,Single-select,Yes / No,Awareness,Direct,Objective,Unconditional,Higher=Worse,Protection-system awareness gap indicator.
SD07,Social Development,Child & Youth Protection,Youth Civic Engagement,% youth (15-24) participating in community or volunteer activities,"Are youth (ages 15-24) in this household engaged in any community, volunteer, or civic activities?",Single-select,"Yes, actively / Occasionally / Not engaged",Utilization,Direct,Objective,Unconditional,Higher=Worse,Social capital and youth inclusion proxy.
SD08,Social Development,Child & Youth Protection,Early Marriage Prevalence,% households with a member married before age 18,Has any member of this household been married before the age of 18?,Single-select,Yes / No / Prefer not to answer,Equity,Direct,Objective,Unconditional,Higher=Worse,Sensitive but critical SDG 5.3 indicator; requires careful field protocol.
SD09,Social Development,Social Cohesion,Sense of Community Belonging,% households reporting strong sense of belonging/trust within the village,How strong is your household's sense of belonging and trust within this village community?,Likert-5,Very weak / Weak / Moderate / Strong / Very strong,Contextual,Proxy,Perception-based,Unconditional,Higher=Worse,Core social-capital indicator underpinning collective action capacity.
SD10,Social Development,Social Cohesion,Conflict Incidence,% households reporting unresolved social or land/resource conflict in the past year,"Has this household been involved in or affected by an unresolved community, land, or resource conflict in the past year?",Single-select,Yes / No,Risk,Direct,Objective,Unconditional,Higher=Worse,Stability/tension indicator relevant to intervention sequencing.
SD11,Social Development,Social Cohesion,Collective Action Capacity,% villages with an active community-led group/committee addressing local issues,"Is there an active community group, council, or committee in this village that addresses local needs?",Single-select,"Yes, active / Exists but inactive / None",Contextual,Direct,Objective,Unconditional,Higher=Worse,Organizational readiness for participatory development approaches.
CU01,Culture,Cultural Heritage,Heritage Asset Presence,% villages with identifiable tangible or intangible cultural heritage assets,"Does this village have cultural heritage sites, crafts, or traditions that are actively recognized or preserved?",Single-select,"Yes, actively preserved / Exist but undocumented/at risk / None identified",Availability,Direct,Objective,Unconditional,Higher=Worse,Baseline asset-mapping indicator for cultural-economy and identity programs.
CU02,Culture,Cultural Heritage,Heritage Risk Status,Perceived risk of loss/erosion of local cultural practices or sites,"Do you feel that local traditions, crafts, or heritage sites are at risk of being lost in the coming generation?",Single-select,High risk / Some risk / Low risk / Don't know,Risk,Proxy,Perception-based,Unconditional,Higher=Worse,Forward-looking risk indicator distinct from current-state presence.
CU03,Culture,Cultural Programs & Participation,Program Availability,"% households aware of cultural, arts, or heritage programs available locally","Are there any cultural, arts, or heritage programs/events available in or near this village?",Single-select,Yes / No / Don't know,Availability,Direct,Objective,Unconditional,Higher=Worse,Program-reach baseline.
CU04,Culture,Cultural Programs & Participation,Participation Rate,% households that participated in a local cultural or heritage activity in the past year,"Has any member of this household participated in a local cultural, heritage, or arts activity in the past 12 months?",Single-select,Yes / No,Utilization,Direct,Objective,Unconditional,Higher=Worse,Engagement/uptake indicator distinct from mere availability.
CU05,Culture,Community Identity,Sense of Cultural Pride,% households expressing pride in local cultural identity/heritage,How proud do members of this household feel about the village's cultural identity and heritage?,Likert-5,Not at all proud / Slightly proud / Moderately proud / Proud / Very proud,Contextual,Proxy,Perception-based,Unconditional,Higher=Worse,Identity-strength indicator distinct from Social Development's general belonging metric — culturally specific.
